UMAP1,UMAP2,UMAP3,Sequence_ID
6.703166,5.8886275,2.9228048,000038f8d21a26c18e677a4a079fc7e8aa34906b7836f6126d0a6dea46f5df12
11.982817,9.628698,-4.871838,000139261d3ec35beecf046479ef7afff48773c2d949f9526c68427d8162d966
6.9977703,7.196994,5.826696,0001b2bd820d5abbb1d0077589afbd3d1ee385ce92c5cbaf56dbde2d27cfead7
8.261319,-2.2352366,5.5620165,0005936a691ae08465ace87cae21dfd7f8c6236875fd7bfe9045def32fdf1b7f
6.788069,5.865768,2.8104303,0006f57eeaba072bf523d10c6eb52397d510516c1deaa714e338f8cc3333b166
9.025334,7.7090116,2.2807322,00092d3e5880d0d886c482cb4a220aabb579b28bb99ee91d1fd7a6a35928e82a
2.3889065,7.129546,-5.8859367,000b40a88eb3ce394617d56290d79e30f0f1f8f9ea68ce1e60d840ed050030f3
-0.01624172,1.2435442,5.308668,000deef5903d042de128de7f72aa93268639bcd011ff294060a3c8bdf573e154
13.959375,9.006136,4.370191,000e97ac27602adf30d2a2bf2fd2638b718c78013b03bcfd1ad55ff1aa356b71
7.5543084,5.23445,2.7557852,00104288dc7193c449d8e73c5690445e4b287dc287f65703e5fec0e463c167ab
9.474005,5.1217494,1.5187901,0012ff17d6cb9d074610c3180b98b5d8102d7a6fc4adbb3bcf11859dcfb9c86f
6.0706406,5.913554,2.3339224,00136862b247c2ad56b45afd5a9b704434d27a20575a2c51d413855d5cec9bf1
11.744239,8.143122,2.6193552,0015d7089ccbb9a6d741539e689a675e47a0c0f3f6a732e399585f085b7c8f52
9.629402,-1.8142995,-1.9257699,0015e8e0bca5598a02fd09beb8a812a8ec175995537166b151c3abd5793c1158
5.890711,6.038739,2.187598,0017a86ce5ec8e04fc24eb4a79fe1577bd3fda06c8f59ea3d4fde525cec4f923
4.12622,6.556868,0.11615987,00181b85a7f65268865aa1414a75fb474e3b4c6336cb3b5ea5ec933d10a0c538
11.982438,2.0287566,4.634089,00186c8e33f5a26c4d52c81a475ff8f45821e07c9a13082add69be433f61a38f
7.737412,9.612546,1.4736435,00190fada47ada1ad9665ea24dc884bc04e64f7946a878e3b856b8d87e11de54
5.398467,7.7516494,-0.020553887,0019401b31a52721b29bbc0098d8643ca59d4d01003a5bf892d33e02d8830d3f
2.2201824,-0.54034096,2.0325513,001945228319b520aa905cc52fc2a410cfae686e5ee521236e40471f1099a958
0.35979742,9.374585,0.236042,0019cba841591513e88e2160296fa56f5d7949ab178d52d8a75fcc1ea0874a0c
5.5315876,7.799983,0.21879913,0019d3f49fad51f8e7df7dfd5a7c7de5a62047eab097526b10c38e51c07c9b53
12.0600815,1.1930202,9.567637,001a6f79b9764c0eb63f1578bebb0da5a5236048330b96568ac3220a53d53762
9.136934,7.899456,2.900006,001d45029353ce55478c562b2edec4df383b9652d52519cffda3eab1d25c2f12
10.595146,5.295568,6.1459346,001f320de389a69679fe6a152940039c6fbefb8dff519642a7b426b101ae6190
9.552015,-0.772846,5.9882135,001ff388c358d3b31ce4d4c56504a5dd34afed31cbfe25201f86c5b02b9a2d8b
7.3676963,2.4773517,6.5613894,0020dc5a6113baebd9da2ebe80a077d8611a97cd80504afaaa18661cea8e92c4
8.586975,2.5359802,9.612918,00215949bcd0e7bc191cc8bfc1eb4ef7a4f7654aebd70fe7a08724bb5a8586fc
4.603572,-4.4136496,0.8371155,0021f159c449c6983d8572d7b72f402442d6edc7d2d9c4127c7f9736c105d7c3
7.748385,9.622133,1.520241,00243bdd59eb2d1be45757db309e202211712dd8a25cad2f00cb8f9c24117f0e
2.7925045,4.0085382,6.8198547,00245202cd2215ae5a0cd326fdd7ff28de0fdad1e731ae939b4084fd6da6f3b7
11.430459,7.5213127,7.9536366,0025524d4ed79926708b15f2f8eee452339c5747ff00ed6ddb589184c538e5f4
7.38324,8.593255,4.1908236,00269e8a7fd71063824011c705dd6035bf3603981248c076b456fd70e5664064
6.8928695,6.7379036,6.330517,0026c649b4dadb9e03f8c0233175436431f31d2106ca1f069b3f5606cfa0d9bd
10.079679,5.532773,1.6177547,00273cf7133a906f34f36367948d9439e6dfd8f98d1a2d823659b07a3f2b083a
8.550906,-0.081812896,6.357632,0028a94c727d10b8ae2315aac9014dfb842391fb5fad15d0effdda4458035e99
11.512423,7.0618396,9.9721365,0029c48b3a5aff1346d0eb37214ab0cd9cd3f5e06234ec002efa19d151f7cc6b
11.589268,5.713222,-5.4947634,002b42ea920494b9d43f6b45284548bb2426d694122b23cbc42573856894e2cd
7.0692906,8.887874,6.168972,002d29100f674d92dc36b76583d629b559f85780d24d2da41b5b296fec56b21d
9.689469,-1.6912317,-2.0238302,002e7a3cca055898c9a675e20bdf1e1116b44e50634ebe950571c1ef1aac2741
10.529669,-1.8697267,-6.5198603,002f176788fd4874dde52647d33714a50d5571f1a8427047682e049887a8cb70
7.7743263,5.0236497,0.39268968,002fc38f95707ad70add7cad3c0e60246a2841da86d2976b9bac45b0fd995a96
11.2868185,7.9773264,-0.8940211,0031062571746da412f051a7ee05ca5e67f4d0a41eef7aafa5a004e5d9bbf8c5
7.781798,7.226349,3.6294022,00312707ca5ca44c0b2a5f1adedc06e00a830bd1545c15898748b48d730f10ff
7.3758435,5.0140142,15.384933,0031af77a416954fef5625c5b820eee6ed7aa3b76feb6e2657e5e2553c5674c4
7.3588223,9.146748,1.9516841,00326c128737ee89991a5af36183f82d5713e84ff27a851a22c506a533776901
8.425007,5.4271646,-0.3970422,0033a09cdc83582e37b94fe3e9a58328005cc22007bcbb0eac8c6defded9fa69
9.032313,9.095706,4.1433744,003724ce432d3b579a406cee5780af05203118f7fcaba3191e99229b8425539e
8.560611,0.04314384,6.696626,0037e4194fb520c5c1abcb047cb594cfb249ffcdf4b268e56f95817880854e8b
7.885591,-0.98961663,2.9634063,0037e7d647588476b981fcfb38256fff3880bfdf1275531316537efd50f752d5
7.849824,5.155803,3.1878834,00381032ab75e0aa20b0327dcc46cc767c5097811cafcc321ba9a9cad7a5cfd4
5.0861087,4.9620757,3.6333642,003958985fde57e1a7f670c121437178be845ca762c0b7df0d6a0c2ebc5ba8eb
10.770656,5.3517804,6.3581443,003a24e125c8c285fb372e4e363946a56fc5a3bd8a40acb0d67db48d04e32365
8.69384,4.688057,4.788709,003a5f5e24ef4f28365fb869aac63d4b5e9579cb3af5f9b1791cb0b13a5ee8e2
10.72146,6.5888476,7.785537,003a9aca6705805281faa80d8158a2645874499511acaca91e69e8cac4627c2a
5.4873333,-3.1335359,3.1094255,003ab9d0709f7f9767faf61e9bfa5381dcce09f7067f4207e600e842460617b4
9.569039,7.3048887,7.161057,003adf0289c7002670c75c53d4cc75c1ca82e7725ed8d34d1325fe68bb423710
9.186749,7.888364,5.641044,003b1839c33f2bf127a60aa41ea0425eec00fcaa976c6ca0f854e4615ca561a6
5.4608774,8.573553,-3.262436,003c2a58a26b69ed9d74155e4656575450c6e47c44e4ff7ad8cd90512c410d5f
